seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250415_183008,1,1구 스트라이크,T,직구,154,54833,앤더슨,79456,이지영,66657,이진영,0,1,0,-0.628302,0.7083,1.8580316813288904,3.373,1.636,R,,
3,1,0,250415_183026,2,2구 헛스윙,S,직구,153,54833,앤더슨,79456,이지영,66657,이진영,0,2,0,-0.435967,0.7083,3.661953110915075,3.373,1.636,R,,
4,1,0,250415_183046,3,3구 파울,F,직구,154,54833,앤더슨,79456,이지영,66657,이진영,0,2,0,0.822921,0.7083,2.11746850250948,3.373,1.636,R,,
5,1,0,250415_183122,4,4구 파울,F,커브,129,54833,앤더슨,79456,이지영,66657,이진영,0,2,0,0.471422,0.7083,2.206436074041215,3.373,1.636,R,,
6,1,0,250415_183147,5,5구 타격,H,체인지업,143,54833,앤더슨,79456,이지영,66657,이진영,0,2,0,0.327295,0.7083,1.7853928098776723,3.373,1.636,R,이진영 : 2루수 왼쪽 내야안타,13
9,1,0,250415_183229,1,1구 타격,H,직구,154,54833,앤더슨,79456,이지영,55734,플로리얼,0,0,0,0.680484,0.7083,2.424849468026177,3.422,1.66,L,플로리얼 : 우익수 앞 1루타,13
13,1,0,250415_183327,1,1구 스트라이크,T,커브,127,54833,앤더슨,79456,이지영,53764,문현빈,0,1,0,0.639952,0.7083,2.717788375440758,3.17,1.537,L,,
14,1,0,250415_183351,2,2구 타격,H,커브,127,54833,앤더슨,79456,이지영,53764,문현빈,0,1,0,-0.578669,0.7083,1.7509016443039451,3.17,1.537,L,문현빈 : 유격수 앞 땅볼로 출루,23
21,1,0,250415_183545,1,1구 헛스윙,S,직구,154,54833,앤더슨,79456,이지영,69737,노시환,0,1,1,-0.389293,0.7083,3.2268004666749706,3.349,1.624,R,,
22,1,0,250415_183609,2,2구 스트라이크,T,커브,129,54833,앤더슨,79456,이지영,69737,노시환,0,2,1,-0.005577,0.7083,2.663525802123142,3.349,1.624,R,,
