seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250719_180059,1,1구 볼,B,직구,149,54354,헤이수스,68089,조대현,68700,이원석,1,0,0,1.4011,0.7083,2.7081162783279344,3.254,1.578,R,,
3,1,0,250719_180116,2,2구 스트라이크,T,직구,149,54354,헤이수스,68089,조대현,68700,이원석,1,1,0,-0.365541,0.7083,2.7555668433126552,3.254,1.578,R,,
4,1,0,250719_180133,3,3구 헛스윙,S,체인지업,136,54354,헤이수스,68089,조대현,68700,이원석,1,2,0,1.10626,0.7083,1.6544314363548083,3.254,1.578,R,,
5,1,0,250719_180151,4,4구 볼,B,체인지업,140,54354,헤이수스,68089,조대현,68700,이원석,2,2,0,1.68312,0.7083,1.7472494957766427,3.254,1.578,R,,
6,1,0,250719_180209,5,5구 타격,H,슬라이더,140,54354,헤이수스,68089,조대현,68700,이원석,2,2,0,-0.354408,0.7083,2.7207371727609764,3.254,1.578,R,이원석 : 좌익수 플라이 아웃,13
9,1,0,250719_180251,1,1구 볼,B,직구,149,54354,헤이수스,68089,조대현,55703,리베라토,1,0,1,0.224484,0.7083,1.5173849645375883,3.417,1.657,L,,
10,1,0,250719_180310,2,2구 헛스윙,S,투심,149,54354,헤이수스,68089,조대현,55703,리베라토,1,1,1,0.201358,0.7083,2.492777818272971,3.417,1.657,L,,
11,1,0,250719_180327,3,3구 볼,B,투심,150,54354,헤이수스,68089,조대현,55703,리베라토,2,1,1,-0.796311,0.7083,4.177345693141207,3.417,1.657,L,,
12,1,0,250719_180345,4,4구 타격,H,슬라이더,135,54354,헤이수스,68089,조대현,55703,리베라토,2,1,1,0.11177,0.7083,3.0112435188270834,3.417,1.657,L,리베라토 : 좌익수 앞 1루타,13
15,1,0,250719_180426,1,1구 스트라이크,T,슬라이더,134,54354,헤이수스,68089,조대현,53764,문현빈,0,1,1,-0.511577,0.7083,2.255193061207463,3.17,1.537,L,,
16,1,0,250719_180519,2,2구 타격,H,슬라이더,133,54354,헤이수스,68089,조대현,53764,문현빈,0,1,1,-0.683349,0.7083,2.527068870842023,3.17,1.537,L,문현빈 : 우익수 플라이 아웃,13
21,1,0,250719_180646,1,1구 볼,B,직구,149,54354,헤이수스,68089,조대현,69737,노시환,1,0,2,0.104299,0.7083,3.7767897656882385,3.349,1.624,R,,
22,1,0,250719_180710,2,2구 헛스윙,S,슬라이더,137,54354,헤이수스,68089,조대현,69737,노시환,1,1,2,-0.383689,0.7083,2.0723121413841197,3.349,1.624,R,,
23,1,0,250719_180732,3,3구 볼,B,체인지업,139,54354,헤이수스,68089,조대현,69737,노시환,2,1,2,0.347912,0.7083,1.3866308012024862,3.349,1.624,R,,
24,1,0,250719_180810,4,4구 볼,B,직구,149,54354,헤이수스,68089,조대현,69737,노시환,3,1,2,-0.74572,0.7083,4.798849797703816,3.349,1.624,R,,
25,1,0,250719_180852,5,5구 헛스윙,S,체인지업,140,54354,헤이수스,68089,조대현,69737,노시환,3,2,2,0.358745,0.7083,1.3177010662957682,3.349,1.624,R,,
27,1,0,250719_180936,6,6구 파울,F,직구,151,54354,헤이수스,68089,조대현,69737,노시환,3,2,2,0.742556,0.7083,3.0167447992576295,3.349,1.624,R,,
28,1,0,250719_181007,7,7구 볼,B,직구,152,54354,헤이수스,68089,조대현,69737,노시환,4,2,2,0.737578,0.7083,3.5296683479520374,3.349,1.624,R,노시환 : 볼넷,13
32,1,0,250719_181050,1,1구 볼,B,체인지업,140,54354,헤이수스,68089,조대현,79192,채은성,1,0,2,1.12334,0.7083,2.674547836160439,3.426,1.662,R,,
33,1,0,250719_181116,2,2구 스트라이크,T,직구,149,54354,헤이수스,68089,조대현,79192,채은성,1,1,2,-0.592925,0.7083,2.3286143175247385,3.426,1.662,R,,
34,1,0,250719_181142,3,3구 볼,B,슬라이더,139,54354,헤이수스,68089,조대현,79192,채은성,2,1,2,-1.32656,0.7083,1.3124619857659618,3.426,1.662,R,,
35,1,0,250719_181213,4,4구 스트라이크,T,직구,150,54354,헤이수스,68089,조대현,79192,채은성,2,2,2,-0.817102,0.7083,3.235113374016727,3.426,1.662,R,,
36,1,0,250719_181242,5,5구 볼,B,직구,150,54354,헤이수스,68089,조대현,79192,채은성,3,2,2,-1.2044,0.7083,1.7234306573015645,3.426,1.662,R,,
38,1,0,250719_181324,6,6구 타격,H,슬라이더,138,54354,헤이수스,68089,조대현,79192,채은성,3,2,2,-0.095817,0.7083,1.1235589821221459,3.426,1.662,R,채은성 : 좌익수 오른쪽 2루타,23
43,1,0,250719_181420,1,1구 볼,B,체인지업,140,54354,헤이수스,68089,조대현,66704,김태연,1,0,2,2.85717,0.7083,2.1540780597941662,3.259,1.581,R,,
44,1,0,250719_181441,2,2구 볼,B,직구,148,54354,헤이수스,68089,조대현,66704,김태연,2,0,2,-0.362128,0.7083,4.067420464269632,3.259,1.581,R,,
45,1,0,250719_181501,3,3구 헛스윙,S,체인지업,138,54354,헤이수스,68089,조대현,66704,김태연,2,1,2,0.57707,0.7083,2.1822832816853657,3.259,1.581,R,,
46,1,0,250719_181524,4,4구 헛스윙,S,체인지업,139,54354,헤이수스,68089,조대현,66704,김태연,2,2,2,0.417035,0.7083,1.0498703096034756,3.259,1.581,R,,
47,1,0,250719_181548,5,5구 파울,F,직구,150,54354,헤이수스,68089,조대현,66704,김태연,2,2,2,0.792453,0.7083,2.7141293309397563,3.259,1.581,R,,
48,1,0,250719_181618,6,6구 파울,F,슬라이더,137,54354,헤이수스,68089,조대현,66704,김태연,2,2,2,-0.85762,0.7083,2.057030615009789,3.259,1.581,R,,
49,1,0,250719_181646,7,7구 타격,H,체인지업,139,54354,헤이수스,68089,조대현,66704,김태연,2,2,2,0.208196,0.7083,2.033083798509531,3.259,1.581,R,김태연 : 중견수 플라이 아웃,13
53,1,1,250719_181905,1,1구 볼,B,직구,151,54755,와이스,76812,이재원,76313,황재균,1,0,0,1.42543,0.7083,3.162695091905618,3.369,1.634,R,,
54,1,1,250719_181917,2,2구 스트라이크,T,직구,152,54755,와이스,76812,이재원,76313,황재균,1,1,0,0.71089,0.7083,2.3183233817084026,3.369,1.634,R,,
55,1,1,250719_181931,3,3구 볼,B,커브,128,54755,와이스,76812,이재원,76313,황재균,2,1,0,-1.45247,0.7083,4.427429087834224,3.369,1.634,R,,
56,1,1,250719_181946,4,4구 헛스윙,S,스위퍼,133,54755,와이스,76812,이재원,76313,황재균,2,2,0,0.526789,0.7083,2.1888329640515156,3.369,1.634,R,,
57,1,1,250719_182003,5,5구 헛스윙,S,스위퍼,138,54755,와이스,76812,이재원,76313,황재균,2,3,0,-0.066867,0.7083,4.108128097083908,3.369,1.634,R,황재균 : 삼진 아웃,13
60,1,1,250719_182033,1,1구 파울,F,직구,152,54755,와이스,76812,이재원,64004,김민혁,0,1,1,-0.453011,0.7083,2.952326350696951,3.375,1.637,L,,
61,1,1,250719_182052,2,2구 타격,H,체인지업,142,54755,와이스,76812,이재원,64004,김민혁,0,1,1,-0.741625,0.7083,2.085829976086667,3.375,1.637,L,김민혁 : 좌익수 오른쪽 1루타,13
64,1,1,250719_182133,1,1구 볼,B,직구,151,54755,와이스,76812,이재원,52001,안현민,1,0,1,-1.25555,0.7083,2.286555758021662,3.322,1.611,R,,
65,1,1,250719_182149,2,2구 스트라이크,T,스위퍼,135,54755,와이스,76812,이재원,52001,안현민,1,1,1,-0.413166,0.7083,3.3636634511088803,3.322,1.611,R,,
66,1,1,250719_182207,3,3구 볼,B,스위퍼,137,54755,와이스,76812,이재원,52001,안현민,2,1,1,1.43833,0.7083,1.5776028198808005,3.322,1.611,R,,
68,1,1,250719_182232,4,4구 타격,H,스위퍼,134,54755,와이스,76812,이재원,52001,안현민,2,1,1,0.090223,0.7083,2.2259229777389833,3.322,1.611,R,안현민 : 좌중간 2루타,23
72,1,1,250719_182329,1,1구 스트라이크,T,커브,130,54755,와이스,76812,이재원,67025,로하스,0,1,1,0.68673,0.7083,2.2443932475904624,3.49,1.693,L,,
73,1,1,250719_182348,2,2구 파울,F,커브,132,54755,와이스,76812,이재원,67025,로하스,0,2,1,0.480277,0.7083,1.4771341146124528,3.49,1.693,L,,
74,1,1,250719_182415,3,3구 볼,B,직구,153,54755,와이스,76812,이재원,67025,로하스,1,2,1,-1.32295,0.7083,4.2937060522857395,3.49,1.693,L,,
75,1,1,250719_182435,4,4구 헛스윙,S,직구,153,54755,와이스,76812,이재원,67025,로하스,1,3,1,0.264962,0.7083,1.9590129116281974,3.49,1.693,L,로하스 : 삼진 아웃,13
78,1,1,250719_182521,1,1구 스트라이크,T,스위퍼,137,54755,와이스,76812,이재원,67644,이정훈,0,1,2,-0.225277,0.7083,2.976830046661721,3.409,1.654,L,,
79,1,1,250719_182539,2,2구 타격,H,스위퍼,136,54755,와이스,76812,이재원,67644,이정훈,0,1,2,-0.019951,0.7083,1.4709829173158377,3.409,1.654,L,이정훈 : 우익수 오른쪽 1루타,23
83,1,1,250719_182633,1,1구 타격,H,직구,149,54755,와이스,76812,이재원,79240,허경민,0,0,2,0.214054,0.7083,2.0821182260055218,3.267,1.584,R,허경민 : 좌익수 뒤 2루타,23
88,1,1,250719_182750,1,1구 파울,F,직구,151,54755,와이스,76812,이재원,79402,김상수,0,1,2,0.253353,0.7083,2.8321190610497933,3.223,1.563,R,,
89,1,1,250719_182812,2,2구 스트라이크,T,스위퍼,134,54755,와이스,76812,이재원,79402,김상수,0,2,2,-0.48593,0.7083,2.693419670506165,3.223,1.563,R,,
90,1,1,250719_182830,3,3구 볼,B,스위퍼,137,54755,와이스,76812,이재원,79402,김상수,1,2,2,2.47315,0.7083,2.690015835793475,3.223,1.563,R,,
91,1,1,250719_182853,4,4구 볼,B,커브,132,54755,와이스,76812,이재원,79402,김상수,2,2,2,1.29246,0.7083,2.1959264174527955,3.223,1.563,R,,
93,1,1,250719_182914,5,5구 파울,F,직구,152,54755,와이스,76812,이재원,79402,김상수,2,2,2,-0.494069,0.7083,2.557280060717863,3.223,1.563,R,,
94,1,1,250719_182941,6,6구 헛스윙,S,스위퍼,136,54755,와이스,76812,이재원,79402,김상수,2,3,2,0.826301,0.7083,1.0620003194403869,3.223,1.563,R,김상수 : 삼진 아웃,13
98,2,0,250719_183146,1,1구 볼,B,직구,145,54354,헤이수스,68089,조대현,62700,하주석,1,0,0,-1.30661,0.7083,1.9007707036495096,3.365,1.632,L,,
99,2,0,250719_183200,2,2구 타격,H,투심,148,54354,헤이수스,68089,조대현,62700,하주석,1,0,0,1.20857,0.7083,2.1354371734964763,3.365,1.632,L,하주석 : 3루수 번트 아웃 (3루수->1루수 송구아웃),13
102,2,0,250719_183233,1,1구 스트라이크,T,직구,148,54354,헤이수스,68089,조대현,76812,이재원,0,1,1,0.37933,0.7083,2.389423897897784,3.387,1.643,R,,
103,2,0,250719_183245,2,2구 타격,H,커브,118,54354,헤이수스,68089,조대현,76812,이재원,0,1,1,0.06327,0.7083,2.630819719734272,3.387,1.643,R,이재원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
106,2,0,250719_183326,1,1구 볼,B,커브,116,54354,헤이수스,68089,조대현,64006,심우준,1,0,2,1.12891,0.7083,3.696407706440397,3.34,1.62,R,,
107,2,0,250719_183339,2,2구 볼,B,직구,148,54354,헤이수스,68089,조대현,64006,심우준,2,0,2,0.450326,0.7083,3.5358888318322768,3.34,1.62,R,,
108,2,0,250719_183357,3,3구 볼,B,직구,148,54354,헤이수스,68089,조대현,64006,심우준,3,0,2,1.1088,0.7083,3.0355824241349008,3.34,1.62,R,,
109,2,0,250719_183414,4,4구 스트라이크,T,직구,147,54354,헤이수스,68089,조대현,64006,심우준,3,1,2,-0.187716,0.7083,2.2225618055000615,3.34,1.62,R,,
110,2,0,250719_183428,5,5구 볼,B,직구,148,54354,헤이수스,68089,조대현,64006,심우준,4,1,2,0.550458,0.7083,1.2993508224182382,3.34,1.62,R,심우준 : 볼넷,13
115,2,0,250719_183548,1,1구 볼,B,체인지업,136,54354,헤이수스,68089,조대현,68700,이원석,1,0,2,1.21026,0.7083,2.7575025622677325,3.254,1.578,R,,
116,2,0,250719_183611,2,2구 타격,H,체인지업,137,54354,헤이수스,68089,조대현,68700,이원석,1,0,2,0.582568,0.7083,2.204136770783493,3.254,1.578,R,이원석 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
121,2,1,250719_183826,1,1구 스트라이크,T,커브,128,54755,와이스,78288,최재훈,68089,조대현,0,1,0,-0.287261,0.7083,3.4357751552675024,3.391,1.645,R,,
122,2,1,250719_183838,2,2구 볼,B,스위퍼,137,54755,와이스,78288,최재훈,68089,조대현,1,1,0,1.59458,0.7083,1.598051199037597,3.391,1.645,R,,
123,2,1,250719_183851,3,3구 스트라이크,T,직구,150,54755,와이스,78288,최재훈,68089,조대현,1,2,0,0.044802,0.7083,2.306634006128734,3.391,1.645,R,,
124,2,1,250719_183905,4,4구 파울,F,스위퍼,137,54755,와이스,78288,최재훈,68089,조대현,1,2,0,1.23248,0.7083,1.930786131183583,3.391,1.645,R,,
125,2,1,250719_183943,5,5구 타격,H,직구,153,54755,와이스,78288,최재훈,68089,조대현,1,2,0,0.271875,0.7083,2.840580622981156,3.391,1.645,R,조대현 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
128,2,1,250719_184015,1,1구 파울,F,직구,151,54755,와이스,78288,최재훈,64115,장준원,0,1,1,0.098543,0.7083,2.4586884371185436,3.393,1.646,R,,
129,2,1,250719_184039,2,2구 타격,H,스위퍼,135,54755,와이스,78288,최재훈,64115,장준원,0,1,1,0.48088,0.7083,1.5558548618072132,3.393,1.646,R,장준원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
132,2,1,250719_184114,1,1구 볼,B,커브,130,54755,와이스,78288,최재훈,76313,황재균,1,0,2,0.384829,0.7083,0.14678682453715464,3.369,1.634,R,,
134,2,1,250719_184133,2,2구 볼,B,커브,131,54755,와이스,78288,최재훈,76313,황재균,2,0,2,0.094509,0.7083,0.9193955671251581,3.369,1.634,R,,
135,2,1,250719_184149,3,3구 볼,B,스위퍼,136,54755,와이스,78288,최재훈,76313,황재균,3,0,2,1.36297,0.7083,1.6924278382459406,3.369,1.634,R,,
136,2,1,250719_184205,4,4구 스트라이크,T,직구,149,54755,와이스,78288,최재훈,76313,황재균,3,1,2,-0.244441,0.7083,1.9770276176499983,3.369,1.634,R,,
137,2,1,250719_184222,5,5구 스트라이크,T,스위퍼,135,54755,와이스,78288,최재훈,76313,황재균,3,2,2,0.036116,0.7083,2.7549461269654554,3.369,1.634,R,,
138,2,1,250719_184247,6,6구 파울,F,직구,153,54755,와이스,78288,최재훈,76313,황재균,3,2,2,-0.060407,0.7083,1.8366881338608971,3.369,1.634,R,,
139,2,1,250719_184309,7,7구 볼,B,스위퍼,138,54755,와이스,78288,최재훈,76313,황재균,4,2,2,1.17063,0.7083,1.1933874669902877,3.369,1.634,R,황재균 : 볼넷,13
143,2,1,250719_184410,1,1구 스트라이크,T,스위퍼,135,54755,와이스,78288,최재훈,64004,김민혁,0,1,2,-0.189817,0.7083,2.222434488553747,3.375,1.637,L,,
144,2,1,250719_184429,2,2구 볼,B,직구,150,54755,와이스,78288,최재훈,64004,김민혁,1,1,2,-1.1806,0.7083,3.6786883037065747,3.375,1.637,L,,
145,2,1,250719_184450,3,3구 파울,F,직구,149,54755,와이스,78288,최재훈,64004,김민혁,1,2,2,0.469726,0.7083,2.5715159052669097,3.375,1.637,L,,
146,2,1,250719_184517,4,4구 파울,F,스위퍼,136,54755,와이스,78288,최재훈,64004,김민혁,1,2,2,0.637621,0.7083,2.005568992874359,3.375,1.637,L,,
147,2,1,250719_184614,5,5구 타격,H,직구,150,54755,와이스,78288,최재훈,64004,김민혁,1,2,2,0.306736,0.7083,3.113066592951885,3.375,1.637,L,김민혁 : 좌익수 플라이 아웃,13
151,3,0,250719_184833,1,1구 파울,F,직구,147,54354,헤이수스,68089,조대현,55703,리베라토,0,1,0,0.837477,0.7083,2.5180351908126104,3.417,1.657,L,,
152,3,0,250719_184854,2,2구 스트라이크,T,직구,148,54354,헤이수스,68089,조대현,55703,리베라토,0,2,0,-0.530648,0.7083,1.7352493332540377,3.417,1.657,L,,
