game_id,game_date,game_datetime,category_id,status_code,status_info,stadium,home_team_code,home_team_name,away_team_code,away_team_name,home_score,away_score,home_starter_name,away_starter_name,win_pitcher_name,lose_pitcher_name,broad_channel,manual_relay_url,round_code,title
20250809HHLG02025,2025-08-09,2025-08-09T18:00:00,kbo,RESULT,9회초,잠실,LG,LG,HH,한화,8,1,치리노스,엄상백,치리노스,엄상백,,,kbo_r,
20250810HHLG02025,2025-08-10,2025-08-10T18:00:00,kbo,RESULT,9회말,잠실,LG,LG,HH,한화,4,5,손주영,문동주,문동주,장현식,,,kbo_r,
20250812LTHH02025,2025-08-12,2025-08-12T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LT,롯데,2,0,,,폰세,감보아,,,kbo_r,
20250813LTHH02025,2025-08-13,2025-08-13T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LT,롯데,6,0,,,와이스,벨라스케즈,,,kbo_r,
20250814LTHH02025,2025-08-14,2025-08-14T18:30:00,kbo,RESULT,11회말,대전,HH,한화,LT,롯데,5,4,류현진,나균안,주현상,윤성빈,,,kbo_r,
20250815HHNC02025,2025-08-15,2025-08-15T18:00:00,kbo,RESULT,9회말,창원,NC,NC,HH,한화,2,9,,김기중,김종수,로건,,,kbo_r,
20250816HHNC02025,2025-08-16,2025-08-16T18:00:00,kbo,RESULT,9회초,창원,NC,NC,HH,한화,9,6,신민혁,문동주,김진호,주현상,,,kbo_r,
20250817HHNC02025,2025-08-17,2025-08-17T18:00:00,kbo,RESULT,9회초,창원,NC,NC,HH,한화,9,4,김녹원,황준서,김녹원,황준서,,,kbo_r,
20250819OBHH02025,2025-08-19,2025-08-19T18:30:00,kbo,RESULT,9회말,대전,HH,한화,OB,두산,5,6,,,최원준,김서현,,,kbo_r,
20250820OBHH02025,2025-08-20,2025-08-20T18:30:00,kbo,RESULT,9회말,대전,HH,한화,OB,두산,9,13,조동욱,곽빈,곽빈,조동욱,,,kbo_r,
20250821OBHH02025,2025-08-21,2025-08-21T18:30:00,kbo,RESULT,9회말,대전,HH,한화,OB,두산,3,6,류현진,잭로그,잭로그,류현진,,,kbo_r,
20250822SKHH02025,2025-08-22,2025-08-22T18:30:00,kbo,RESULT,11회말,대전,HH,한화,SK,SSG,0,1,,최민준,이로운,김범수,,,kbo_r,
20250823SKHH02025,2025-08-23,2025-08-23T18:00:00,kbo,RESULT,9회초,대전,HH,한화,SK,SSG,5,0,황준서,화이트,황준서,화이트,,,kbo_r,
20250824SKHH02025,2025-08-24,2025-08-24T18:00:00,kbo,RESULT,9회초,대전,HH,한화,SK,SSG,5,2,,송영진,와이스,전영준,,,kbo_r,
20250826HHWO02025,2025-08-26,2025-08-26T18:30:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,1,3,알칸타라,류현진,한승혁,조영건,,,kbo_r,
20250827HHWO02025,2025-08-27,2025-08-27T18:30:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,1,3,,문동주,문동주,메르세데스,,,kbo_r,
20250828HHWO02025,2025-08-28,2025-08-28T18:30:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,3,9,하영민,,폰세,하영민,,,kbo_r,
20250829SSHH02025,2025-08-29,2025-08-29T18:30:00,kbo,RESULT,9회말,대전,HH,한화,SS,삼성,3,5,황준서,이승현,양창섭,황준서,,,kbo_r,
20250830SSHH02025,2025-08-30,2025-08-30T18:00:00,kbo,RESULT,9회말,대전,HH,한화,SS,삼성,0,4,,후라도,후라도,와이스,,,kbo_r,
20250831SSHH02025,2025-08-31,2025-08-31T18:00:00,kbo,RESULT,9회말,대전,HH,한화,SS,삼성,3,5,김기중,원태인,원태인,김기중,,,kbo_r,
