season_id,year,game_type,team_code,team_name,player_id,player_name,back_number,position,ranking,is_qualified,hitter_hra,hitter_rbi,hitter_run,hitter_hr,hitter_hit,hitter_h2,hitter_h3,hitter_game_count,hitter_ab,hitter_sb,hitter_cs,hitter_bb,hitter_hp,hitter_kk,hitter_gd,hitter_obp,hitter_slg,hitter_ops,hitter_isop,hitter_babip,hitter_woba,hitter_wrc_plus,hitter_wpa,hitter_war
2025,2025,REGULAR_SEASON,HH,한화,50704,임종찬,9,외야수,,False,0.16666666666666669,2,2,1,5,1,0,17,30,2,,5,0,13,,0.286,0.3,0.586,0.13299999999999998,0.25,0.271,59.4,-0.675,-0.11
2025,2025,REGULAR_SEASON,HH,한화,69766,유로결,33,외야수,,False,0.15384615384615385,0,1,0,2,0,0,20,13,1,,0,1,4,,0.214,0.154,0.368,0.0,0.222,0.159,-20.7,-0.332,-0.08
2025,2025,REGULAR_SEASON,HH,한화,66715,김인환,37,,,False,0.08,3,2,1,2,0,0,10,25,0,,1,0,9,,0.115,0.2,0.315,0.12000000000000001,0.067,0.137,-36.0,-0.516,-0.4
2025,2025,REGULAR_SEASON,HH,한화,53754,김서현,44,투수,,False,0.0,0,0,0,0,0,0,3,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,50711,김승일,14,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,63765,김종수,38,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,67703,박상원,58,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,50709,박정현,63,내야수,,False,0.0,0,0,0,0,0,0,2,2,0,,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,-133.9,-0.001,-0.05
2025,2025,REGULAR_SEASON,HH,한화,69213,윤산흠,49,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,55710,이민재,68,외야수,,False,0.0,0,0,0,0,0,0,3,4,0,,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,-133.9,-0.13,-0.1
2025,2025,REGULAR_SEASON,HH,한화,55743,정우주,61,투수,,False,0.0,0,0,0,0,0,0,3,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,54768,조동욱,57,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HH,한화,61666,한승혁,35,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,HT,KIA,72443,최형우,34,외야수,11,True,0.3070362473347548,86,74,24,144,30,1,133,469,1,,67,8,98,,0.399,0.529,0.928,0.22200000000000003,0.341,0.399,146.1,1.716,4.87
2025,2025,REGULAR_SEASON,HT,KIA,64646,박찬호,7,내야수,19,True,0.2868217054263566,42,75,5,148,18,2,134,516,27,,62,3,69,,0.363,0.359,0.722,0.07200000000000001,0.319,0.335,107.5,-1.776,3.81
2025,2025,REGULAR_SEASON,HT,KIA,69636,오선우,56,내야수,31,True,0.26544622425629294,56,58,18,116,17,1,124,437,0,,34,3,158,,0.323,0.432,0.755,0.16699999999999998,0.375,0.336,106.6,-1.156,1.99
2025,2025,REGULAR_SEASON,HT,KIA,66606,최원준,3,외야수,41,True,0.2290748898678414,19,28,4,52,7,0,76,227,9,,15,2,43,,0.282,0.313,0.595,0.08399999999999999,0.265,0.283,71.7,-1.9769999999999999,0.79
2025,2025,REGULAR_SEASON,HT,KIA,55645,위즈덤,45,,43,True,0.2358490566037736,85,73,35,100,20,1,119,424,3,,52,4,142,,0.321,0.535,0.856,0.29900000000000004,0.257,0.362,125.1,-1.901,2.82
2025,2025,REGULAR_SEASON,HT,KIA,66354,주효상,22,포수,,False,0.33333333333333337,1,1,0,5,2,0,8,15,0,,2,0,4,,0.412,0.467,0.879,0.134,0.455,0.389,145.2,0.557,0.14
2025,2025,REGULAR_SEASON,HT,KIA,78603,김선빈,3,내야수,,False,0.3210332103321033,46,31,3,87,18,1,84,271,4,,31,3,35,,0.395,0.428,0.823,0.10699999999999998,0.359,0.369,131.9,0.412,2.4
2025,2025,REGULAR_SEASON,HT,KIA,52605,김도영,5,내야수,,False,0.3090909090909091,27,20,7,34,9,0,30,110,3,,10,0,23,,0.361,0.582,0.943,0.27299999999999996,0.329,0.4,149.9,0.927,1.04
2025,2025,REGULAR_SEASON,HT,KIA,61353,고종욱,57,외야수,,False,0.29565217391304344,16,13,3,34,2,0,46,115,2,,5,0,17,,0.317,0.391,0.708,0.09500000000000003,0.316,0.313,88.1,-0.507,0.42
2025,2025,REGULAR_SEASON,HT,KIA,65653,김호령,27,외야수,,False,0.28313253012048195,39,46,6,94,26,3,105,332,12,,34,6,94,,0.359,0.434,0.793,0.15100000000000002,0.378,0.35,118.6,-1.109,3.13
2025,2025,REGULAR_SEASON,HT,KIA,52667,윤도현,16,내야수,,False,0.2751677852348994,17,24,6,41,7,2,40,149,2,,8,1,36,,0.316,0.47,0.786,0.19499999999999995,0.327,0.345,116.0,-0.556,0.6
2025,2025,REGULAR_SEASON,HT,KIA,67609,박정우,1,외야수,,False,0.2741935483870968,4,17,0,17,2,0,53,62,2,,10,3,12,,0.4,0.306,0.706,0.03199999999999997,0.34,0.351,118.9,-0.323,0.37
