season_id,year,game_type,team_code,team_name,player_id,player_name,back_number,position,ranking,is_qualified,hitter_hra,hitter_rbi,hitter_run,hitter_hr,hitter_hit,hitter_h2,hitter_h3,hitter_game_count,hitter_ab,hitter_sb,hitter_cs,hitter_bb,hitter_hp,hitter_kk,hitter_gd,hitter_obp,hitter_slg,hitter_ops,hitter_isop,hitter_babip,hitter_woba,hitter_wrc_plus,hitter_wpa,hitter_war
2024,2024,REGULAR_SEASON,HH,한화,79608,안치홍,9,내야수,24,True,0.30021141649048627,66,64,13,142,21,0,128,473,3,,49,6,70,,0.37,0.427,0.797,0.127,0.327,0.365,112.3,-0.196,2.9
2024,2024,REGULAR_SEASON,HH,한화,66704,김태연,25,외야수,31,True,0.29055690072639223,61,59,12,120,24,0,126,413,5,,45,4,89,,0.363,0.436,0.799,0.14500000000000002,0.342,0.358,108.4,-0.193,2.0
2024,2024,REGULAR_SEASON,HH,한화,54730,페라자,30,외야수,41,True,0.27472527472527475,70,75,24,125,24,0,122,455,7,,63,2,129,,0.364,0.486,0.85,0.21099999999999997,0.332,0.38,117.9,1.383,2.95
2024,2024,REGULAR_SEASON,HH,한화,69737,노시환,8,내야수,43,True,0.2718631178707224,89,88,24,143,20,2,136,526,6,,60,11,129,,0.356,0.454,0.81,0.182,0.316,0.359,102.2,0.416,2.45
2024,2024,REGULAR_SEASON,HH,한화,79192,채은성,22,외야수,44,True,0.2706422018348624,83,61,20,118,24,0,124,436,1,,49,8,83,,0.351,0.463,0.814,0.192,0.29,0.363,110.8,0.758,2.31
2024,2024,REGULAR_SEASON,HH,한화,54795,황영묵,95,내야수,,False,0.3008595988538682,35,52,3,105,8,4,123,349,4,,31,5,56,,0.365,0.372,0.737,0.07100000000000001,0.351,0.344,100.7,-1.641,1.62
2024,2024,REGULAR_SEASON,HH,한화,62700,하주석,16,내야수,,False,0.291970802919708,11,16,1,40,9,1,64,137,1,,10,2,33,,0.349,0.394,0.743,0.10200000000000004,0.379,0.328,90.2,-0.992,0.28
2024,2024,REGULAR_SEASON,HH,한화,66707,박상언,42,포수,,False,0.2857142857142857,4,4,0,12,3,0,27,42,1,,9,1,12,,0.423,0.357,0.78,0.07100000000000001,0.4,0.366,114.7,-0.061,0.25
2024,2024,REGULAR_SEASON,HH,한화,50707,최인호,41,외야수,,False,0.2857142857142857,22,37,2,60,13,2,82,210,3,,25,3,31,,0.367,0.395,0.762,0.10900000000000004,0.324,0.359,110.5,0.091,1.45
2024,2024,REGULAR_SEASON,HH,한화,53764,문현빈,51,내야수,,False,0.27692307692307694,47,29,5,72,16,2,103,260,3,,24,2,53,,0.34,0.412,0.752,0.13499999999999995,0.328,0.333,91.5,-1.881,0.88
2024,2024,REGULAR_SEASON,HH,한화,65703,이도윤,5,내야수,,False,0.2767857142857143,46,49,1,93,10,3,134,336,6,,26,3,56,,0.332,0.333,0.665,0.055999999999999994,0.326,0.314,81.8,-1.203,0.8
2024,2024,REGULAR_SEASON,HH,한화,52769,권광민,17,외야수,,False,0.2708333333333333,9,10,4,13,3,0,19,48,0,,3,0,17,,0.314,0.583,0.897,0.31199999999999994,0.333,0.374,117.8,-0.108,0.27
2024,2024,REGULAR_SEASON,HH,한화,66706,장진혁,51,외야수,,False,0.2629757785467128,44,56,9,76,16,0,99,289,14,,29,3,72,,0.335,0.412,0.747,0.14899999999999997,0.321,0.334,93.2,-0.992,0.83
2024,2024,REGULAR_SEASON,HH,한화,78288,최재훈,13,포수,,False,0.2571428571428571,37,34,4,72,10,0,116,280,0,,33,21,58,,0.371,0.336,0.707,0.07900000000000001,0.304,0.324,87.3,-0.735,1.24
2024,2024,REGULAR_SEASON,HH,한화,76812,이재원,20,포수,,False,0.23880597014925373,16,10,1,32,4,0,72,134,0,,7,4,21,,0.287,0.291,0.578,0.05199999999999999,0.265,0.267,47.7,-0.736,-0.24
2024,2024,REGULAR_SEASON,HH,한화,66715,김인환,37,,,False,0.2366412213740458,7,11,1,31,2,0,51,131,0,,10,2,32,,0.301,0.275,0.576,0.038000000000000034,0.306,0.281,59.5,-1.446,-0.35
2024,2024,REGULAR_SEASON,HH,한화,68700,이원석,37,외야수,,False,0.23308270676691728,13,26,0,31,4,1,87,133,8,,16,2,32,,0.322,0.278,0.6,0.04500000000000001,0.304,0.297,70.4,-0.499,0.02
2024,2024,REGULAR_SEASON,HH,한화,71837,김강민,0,,,False,0.2236842105263158,7,5,1,17,0,0,41,76,0,,8,3,21,,0.322,0.263,0.585,0.03900000000000001,0.296,0.28,58.8,-0.254,-0.17
2024,2024,REGULAR_SEASON,HH,한화,69766,유로결,33,외야수,,False,0.2222222222222222,4,6,0,8,1,0,23,36,0,,3,0,11,,0.282,0.25,0.532,0.027999999999999997,0.32,0.249,39.0,-0.338,-0.3
2024,2024,REGULAR_SEASON,HH,한화,66657,이진영,10,외야수,,False,0.20430107526881722,13,20,1,19,6,0,42,93,0,,8,2,27,,0.282,0.301,0.583,0.097,0.277,0.275,56.0,-0.542,-0.37
2024,2024,REGULAR_SEASON,HH,한화,68743,정은원,43,내야수,,False,0.171875,6,10,1,11,3,1,27,64,2,,13,0,16,,0.312,0.297,0.609,0.125,0.213,0.282,61.0,-0.281,-0.12
2024,2024,REGULAR_SEASON,HH,한화,50704,임종찬,9,외야수,,False,0.15789473684210525,7,10,0,9,3,2,24,57,0,,6,1,19,,0.25,0.281,0.531,0.12300000000000003,0.237,0.257,46.6,-0.287,-0.04
2024,2024,REGULAR_SEASON,HH,한화,52704,이상혁,9,외야수,,False,0.15384615384615385,0,13,0,2,0,0,43,13,5,,2,0,5,,0.267,0.154,0.421,0.0,0.25,0.277,57.3,0.017,-0.08
2024,2024,REGULAR_SEASON,HH,한화,53754,김서현,44,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024,REGULAR_SEASON,HH,한화,67703,박상원,58,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024,REGULAR_SEASON,HH,한화,76849,이명기,14,,,False,0.0,1,0,0,0,0,0,4,7,0,,0,0,3,,0.0,0.0,0.0,0.0,0.0,0.0,-121.3,-0.085,-0.21
2024,2024,REGULAR_SEASON,HH,한화,51762,장규현,32,포수,,False,0.0,0,0,0,0,0,0,9,6,0,,1,0,1,,0.143,0.0,0.143,0.0,0.0,0.103,-55.1,-0.025,-0.17
2024,2024,REGULAR_SEASON,HH,한화,79764,장민재,36,,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024,REGULAR_SEASON,HH,한화,65707,주현상,66,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024,REGULAR_SEASON,HH,한화,52710,한경빈,6,내야수,,False,0.0,0,0,0,0,0,0,1,1,0,,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,-121.3,-0.019,-0.01
2024,2024,REGULAR_SEASON,HT,KIA,52605,김도영,5,내야수,3,True,0.3474264705882353,109,143,38,189,29,10,141,544,40,,66,7,110,,0.42,0.647,1.067,0.30000000000000004,0.375,0.454,167.5,4.2379999999999995,7.34
2024,2024,REGULAR_SEASON,HT,KIA,78603,김선빈,3,내야수,8,True,0.32860520094562645,57,48,9,139,23,0,116,423,5,,30,5,39,,0.38,0.447,0.827,0.118,0.347,0.366,114.5,1.229,3.21
2024,2024,REGULAR_SEASON,HT,KIA,52630,소크라테스,30,,15,True,0.30978260869565216,97,92,26,171,30,3,140,552,13,,41,4,91,,0.359,0.516,0.875,0.20600000000000002,0.33,0.382,122.4,0.022,4.12
2024,2024,REGULAR_SEASON,HT,KIA,64646,박찬호,7,내야수,18,True,0.3067961165048544,61,86,5,158,24,1,134,515,20,,48,1,44,,0.363,0.386,0.749,0.07900000000000001,0.324,0.347,101.9,-0.586,2.37
2024,2024,REGULAR_SEASON,HT,KIA,66606,최원준,3,외야수,29,True,0.2922374429223744,56,75,9,128,23,3,136,438,21,,50,8,66,,0.371,0.42,0.791,0.128,0.323,0.353,106.5,0.166,2.52
2024,2024,REGULAR_SEASON,HT,KIA,63260,이우성,55,외야수,33,True,0.2882205513784461,54,56,9,115,16,1,112,399,7,,44,3,89,,0.361,0.401,0.762,0.11300000000000004,0.349,0.349,103.8,0.325,1.6400000000000001
2024,2024,REGULAR_SEASON,HT,KIA,72443,최형우,34,외야수,38,True,0.28,109,67,22,119,23,2,116,425,1,,52,5,86,,0.361,0.499,0.86,0.21899999999999997,0.301,0.379,119.7,2.801,2.7
