season_id,year,game_type,team_code,team_name,player_id,player_name,back_number,position,ranking,is_qualified,hitter_hra,hitter_rbi,hitter_run,hitter_hr,hitter_hit,hitter_h2,hitter_h3,hitter_game_count,hitter_ab,hitter_sb,hitter_cs,hitter_bb,hitter_hp,hitter_kk,hitter_gd,hitter_obp,hitter_slg,hitter_ops,hitter_isop,hitter_babip,hitter_woba,hitter_wrc_plus,hitter_wpa,hitter_war
2026,2026,REGULAR_SEASON,HH,한화,54730,페라자,30,외야수,3,True,0.42857142857142855,5,12,1,18,6,0,10,42,2,,8,0,7,,0.52,0.643,1.163,0.21400000000000002,0.5,0.497,186.4,0.223,0.75
2026,2026,REGULAR_SEASON,HH,한화,53764,문현빈,51,내야수,10,True,0.3611111111111111,11,11,2,13,4,0,9,36,0,,9,1,5,,0.5,0.639,1.139,0.278,0.379,0.507,203.2,0.782,0.85
2026,2026,REGULAR_SEASON,HH,한화,62700,하주석,16,내야수,12,True,0.34210526315789475,5,3,0,13,1,0,10,38,0,,3,0,11,,0.39,0.368,0.758,0.025999999999999968,0.481,0.369,112.5,-0.001,0.27
2026,2026,REGULAR_SEASON,HH,한화,68050,강백호,50,내야수,32,True,0.28260869565217395,15,9,3,13,1,0,10,46,0,,4,0,12,,0.34,0.5,0.84,0.21700000000000003,0.323,0.361,108.4,0.43,0.23
2026,2026,REGULAR_SEASON,HH,한화,79192,채은성,22,외야수,37,True,0.275,6,6,1,11,1,0,10,40,1,,2,2,9,,0.326,0.375,0.701,0.09999999999999998,0.313,0.349,100.5,-0.006,0.16
2026,2026,REGULAR_SEASON,HH,한화,56754,오재원,54,외야수,52,True,0.22727272727272727,4,7,0,10,1,0,10,44,0,,4,0,6,,0.292,0.25,0.542,0.022999999999999993,0.263,0.268,47.8,-0.313,-0.25
2026,2026,REGULAR_SEASON,HH,한화,69737,노시환,8,내야수,63,True,0.18181818181818182,3,6,0,8,1,0,10,44,0,,5,1,18,,0.28,0.205,0.485,0.022999999999999993,0.308,0.238,28.3,-0.104,-0.32
2026,2026,REGULAR_SEASON,HH,한화,78288,최재훈,13,포수,69,True,0.12,3,3,0,3,0,0,9,25,0,,1,4,6,,0.267,0.12,0.387,0.0,0.158,0.258,41.9,-0.23,-0.06
2026,2026,REGULAR_SEASON,HH,한화,51762,장규현,32,포수,,False,1.0,0,0,0,1,0,0,1,1,0,,0,0,0,,1.0,1.0,2.0,0.0,1.0,0.9,453.6,0.0,0.05
2026,2026,REGULAR_SEASON,HH,한화,65703,이도윤,5,내야수,,False,0.5,3,1,0,5,2,0,7,10,0,,2,1,0,,0.615,0.7,1.315,0.19999999999999996,0.5,0.708,333.9,0.193,0.4
2026,2026,REGULAR_SEASON,HH,한화,64006,심우준,7,내야수,,False,0.33333333333333337,9,6,2,9,2,0,8,27,2,,2,0,7,,0.379,0.63,1.009,0.297,0.389,0.457,170.3,0.997,0.47
2026,2026,REGULAR_SEASON,HH,한화,66657,이진영,10,외야수,,False,0.33333333333333337,1,1,0,1,0,0,2,3,0,,1,0,1,,0.5,0.333,0.833,0.0,0.5,0.405,136.4,-0.005,0.03
